Company;Symbol;NAICS_Level_2_Code;NAICS_Level_2_Subsector_Title
Albemarle Corporation;ALB;325;Chemical Manufacturing
Catalent, Inc.;CTLT;325;Chemical Manufacturing
Qorvo, Inc.;QRVO;334;Computer and Electronic Product Manufacturing
Lkq Corporation;LKQ;423;Merchant Wholesalers, Durable Goods
Huntington Ingalls Industries, Inc.;HII;336;Transportation Equipment Manufacturing
News Corporation Class A;NWSA;511;Publishing Industries (except Internet)
Match Group, Inc;MTCH;518;Data Processing, Hosting, and Related Services
A.O. Smith Corporation;AOS;335;Electrical Equipment, Appliance, and Component Manufacturing
Bxp, Inc.;BXP;531;Real Estate
Pinnacle West Capital Corporation;PNW;221;Utilities
Molson Coors Beverage Company Class B;TAP;312;Beverage and Tobacco Product Manufacturing
Henry Schein Inc;HSIC;424;Merchant Wholesalers, Nondurable Goods
Incyte Genomics Inc;INCY;325;Chemical Manufacturing
Campbell Soup Company;CPB;311;Food Manufacturing
The Mosaic Company;MOS;325;Chemical Manufacturing
Hormel Foods Corporation;HRL;311;Food Manufacturing
Mgm Resorts International;MGM;721;Accommodation
Fox Corporation Class A;FOXA;515;Broadcasting (except Internet)
Assurant, Inc.;AIZ;524;Insurance Carriers and Related Activities
Tapestry, Inc.;TPR;316;Leather and Allied Product Manufacturing
Generac Holdings Inc;GNRC;335;Electrical Equipment, Appliance, and Component Manufacturing
Dayforce, Inc.;DAY;541;Professional, Scientific, and Technical Services
Walgreens Boots Alliance, Inc;WBA;446;Health and Personal Care Stores
Lamb Weston Holdings, Inc.;LW;311;Food Manufacturing
Marketaxess Holdings Inc.;MKTX;523;Securities, Commodity Contracts, and Other Financial Investments
Hasbro, Inc.;HAS;339;Miscellaneous Manufacturing
Federal Realty Investment Trust;FRT;531;Real Estate
Paycom Software, Inc.;PAYC;541;Professional, Scientific, and Technical Services
Brown-Forman Corporation Class B;BF.B;312;Beverage and Tobacco Product Manufacturing
Fmc Corporation;FMC;325;Chemical Manufacturing
Mohawk Industries, Inc.;MHK;314;Textile Product Mills
Solventum Corporation;SOLV;325;Chemical Manufacturing
Bath & Body Works, Inc.;BBWI;448;Clothing and Clothing Accessories Stores
Globe Life Inc.;GL;524;Insurance Carriers and Related Activities
Caesars Entertainment, Inc.;CZR;721;Accommodation
Borgwarner Inc.;BWA;336;Transportation Equipment Manufacturing
Invesco Ltd;IVZ;523;Securities, Commodity Contracts, and Other Financial Investments
Wynn Resorts Ltd;WYNN;721;Accommodation
Davita Inc.;DVA;621;Ambulatory Health Care Services
Norwegian Cruise Line Holdings Ltd.s;NCLH;483;Water Transportation
Etsy, Inc.;ETSY;454;Nonstore Retailers
Bio-Rad Laboratories, Inc.Class A;BIO;541;Professional, Scientific, and Technical Services
Ralph Lauren Corporation;RL;315;Apparel Manufacturing
American Airlines Group Inc.;AAL;481;Air Transportation
Franklin Resources, Inc.;BEN;523;Securities, Commodity Contracts, and Other Financial Investments
Paramount Global Class B;PARA;515;Broadcasting (except Internet)
Fox Corporation Class B;FOX;515;Broadcasting (except Internet)
News Corporation Class B;NWS;511;Publishing Industries (except Internet)
